[<0, 12.5, 2.5>, <2.5, 15, 2.5>, <5, 12.5, 2.5>, <2.5, 10, 2.5>, <0, 15, 0>, <5, 15, 0>, <5, 10, 0>, <0, 10, 0>, <0, 12.5, 27.5>, <2.5, 15, 27.5>, <5, 12.5, 27.5>, <2.5, 10, 27.5>]
[<27.5, 12.5, 5>, <0, 15, 5>, <2.5, 12.5, 5>, <0, 10, 5>, <27.5, 15, 2.5>, <2.5, 15, 2.5>, <2.5, 10, 2.5>, <27.5, 10, 2.5>, <27.5, 12.5, 0>, <0, 15, 0>, <2.5, 12.5, 0>, <0, 10, 0>]
[<0, 10, 5>, <2.5, 12.5, 5>, <5, 10, 5>, <2.5, 7.5, 5>, <0, 12.5, 2.5>, <5, 12.5, 2.5>, <5, 7.5, 2.5>, <0, 7.5, 2.5>, <0, 10, 0>, <2.5, 12.5, 0>, <5, 10, 0>, <2.5, 7.5, 0>]
[<27.5, 10, 7.5>, <0, 12.5, 7.5>, <2.5, 10, 7.5>, <0, 7.5, 7.5>, <27.5, 12.5, 5>, <2.5, 12.5, 5>, <2.5, 7.5, 5>, <27.5, 7.5, 5>, <27.5, 10, 2.5>, <0, 12.5, 2.5>, <2.5, 10, 2.5>, <0, 7.5, 2.5>]
[<0, 12.5, 7.5>, <2.5, 15, 7.5>, <5, 12.5, 7.5>, <2.5, 10, 7.5>, <0, 15, 5>, <5, 15, 5>, <5, 10, 5>, <0, 10, 5>, <0, 12.5, 2.5>, <2.5, 15, 2.5>, <5, 12.5, 2.5>, <2.5, 10, 2.5>]
[<27.5, 12.5, 10>, <0, 15, 10>, <2.5, 12.5, 10>, <0, 10, 10>, <27.5, 15, 7.5>, <2.5, 15, 7.5>, <2.5, 10, 7.5>, <27.5, 10, 7.5>, <27.5, 12.5, 5>, <0, 15, 5>, <2.5, 12.5, 5>, <0, 10, 5>]
[<0, 10, 10>, <2.5, 12.5, 10>, <5, 10, 10>, <2.5, 7.5, 10>, <0, 12.5, 7.5>, <5, 12.5, 7.5>, <5, 7.5, 7.5>, <0, 7.5, 7.5>, <0, 10, 5>, <2.5, 12.5, 5>, <5, 10, 5>, <2.5, 7.5, 5>]
[<27.5, 10, 12.5>, <0, 12.5, 12.5>, <2.5, 10, 12.5>, <0, 7.5, 12.5>, <27.5, 12.5, 10>, <2.5, 12.5, 10>, <2.5, 7.5, 10>, <27.5, 7.5, 10>, <27.5, 10, 7.5>, <0, 12.5, 7.5>, <2.5, 10, 7.5>, <0, 7.5, 7.5>]
[<0, 12.5, 12.5>, <2.5, 15, 12.5>, <5, 12.5, 12.5>, <2.5, 10, 12.5>, <0, 15, 10>, <5, 15, 10>, <5, 10, 10>, <0, 10, 10>, <0, 12.5, 7.5>, <2.5, 15, 7.5>, <5, 12.5, 7.5>, <2.5, 10, 7.5>]
[<27.5, 12.5, 15>, <0, 15, 15>, <2.5, 12.5, 15>, <0, 10, 15>, <27.5, 15, 12.5>, <2.5, 15, 12.5>, <2.5, 10, 12.5>, <27.5, 10, 12.5>, <27.5, 12.5, 10>, <0, 15, 10>, <2.5, 12.5, 10>, <0, 10, 10>]
[<0, 10, 15>, <2.5, 12.5, 15>, <5, 10, 15>, <2.5, 7.5, 15>, <0, 12.5, 12.5>, <5, 12.5, 12.5>, <5, 7.5, 12.5>, <0, 7.5, 12.5>, <0, 10, 10>, <2.5, 12.5, 10>, <5, 10, 10>, <2.5, 7.5, 10>]
[<27.5, 10, 17.5>, <0, 12.5, 17.5>, <2.5, 10, 17.5>, <0, 7.5, 17.5>, <27.5, 12.5, 15>, <2.5, 12.5, 15>, <2.5, 7.5, 15>, <27.5, 7.5, 15>, <27.5, 10, 12.5>, <0, 12.5, 12.5>, <2.5, 10, 12.5>, <0, 7.5, 12.5>]
